Job_Title,Company _Name,Rating,Location,Salary,Skills,Description,,
Data Analyst,Innoage Technologies Pvt. Ltd.,,Noida,450000," Microsoft Excel, Data analysis skills, Warehouse management system, SQL, Supply chain management","As a Purchase Analyst, you will play a crucial role in optimizing our procurement processes and ensuring efficient supply chain management.É??",,
Junior Data Analysts,RMSI,3.5,Noida,450000," Statistics, Computer science, Data analysis skills, GPS, Analysis skills",Strong foundation in data analysis and a keen interest in working with sensor data. To work on programs that need to analyze data and report using customÉ??É??,,
Data Analyst,Eninrac Consulting,5,Noida,400000," Microsoft Powerpoint, English, Analysis skills, Communication skills",Eninrac is looking for data analyst who will be a part of our research & consulting (R&C) team. Assisting them in client calls & supporting them with desiredÉ??É??,,
Business Analyst - Intern,MyOperator,4.3,Noida,18000," Power BI, Tableau, Project management","Stakeholder Communication: Liaise with various departments, including IT, Sales, Marketing, and Operations, to gather information and ensure alignment onÉ??É??",,
Data Analyst,Spice Money,4.2,Noida,," SQL, Python","Employ statistical techniques to scrutinize data and produce actionable business insights. Gather data from primary and secondary sources, ensuring the upkeepÉ??É??",,
Data Analyst,DistrictD (Utopian Dreams Pvt. Ltd.),,India,300000," Microsoft Word, Microsoft Excel, Data analysis skills, Analysis skills, Financial statement preparation",Note:- Preferred immediate Joiner or maximum 15 daysÉ?? Notice period.*. ?? Having certification in Equity Research / Investment Banking / Financial Modelling willÉ??É??,,
Data Analyst,Optum,3.5,Noida,850000," Power BI, Business intelligence, Big data, Data structures, R","Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to,É??É??",,
Data Analyst,Magic Bus India Foundation,3.6,Noida,," Microsoft Excel, Data mining, Microsoft Office, Data entry, Communication skills",Data mining and data cleaning. Maintaining data quality of MIS. Work closely with the National MIS Manager and Operations team in maintaining the quality ofÉ??É??,,
Data Analyst, India- X Delivery,Boston Consulting Group,4.3,Gurgaon,700000," Microsoft Powerpoint, Power BI, Microsoft Excel, Spark, Alteryx","You will collaborate with PA or case teams to gather requirements, specify, design, develop, deliver and support analytic solutions serving client needs.É??",
Data Analyst, Business Modelling, India- X Delivery,Boston Consulting Group,4.3,Gurgaon,700000," Microsoft Powerpoint, Power BI, Microsoft Excel, Spark, Alteryx","You will collaborate with various teams to gather requirements, specify, design, develop, deliver, and support analytic solutions serving the client's needs.É??"
Associate Analyst,CmaxInsight,3.4,Noida,650000," Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Research, Microsoft Office",Perform qualitative and quantitative data analysis. Work towards developing excellent research reports and insights.É??,,
Associate Data Analyst,VASA DENTICITY LIMITED,4.4,Delhi,," Power BI, Business intelligence, SQL",Perform data extraction and integration from multiple databases or data warehouses to support business intelligence initiatives.É??,,
Data Analyst,XPERTECH TALENT AI PRIVATE LIMITED,,India,21000," Data analysis skills, SQL, Analysis skills, Agile, Python","The successful candidate will turn data into information, information into insight and insight into business decisions. Job Types: Full-time, Permanent.É??",,
Data Analyst,SSPL,4,Delhi,," English, Tableau, SQL, Presentation skills, Communication skills",Good interpersonal skills to form effective working relationships with people at all levels. Database schema design and implementation.É??,,
Data Analyst,Mavericks Education,,Noida,27500," Power BI, Data mining, R, Tableau, SQL",Assist in creating data collection systems that improve data accuracy and efficiency. The ideal candidate will have a passion for data and a strong analyticalÉ??É??,,
Data Analyst,EPIC-INDIA,,Delhi,,,EPIC India is seeking a full-time É??Data AnalystÉ?ù who will be responsible for analyzing large datasets and extracting insights from complex data sets and provideÉ??É??,,
Data Analyst,RemoteState,3.9,Noida,1500000," Power BI, Oracle, Data mining, Data analysis skills, Microsoft SQL Server","As a Data Analyst you will be responsible for turning data into information, information into insight, and insight into business decisions.É??",,
Data Engineering. Analyst,BlackRock Investments,3.9,Gurgaon,1000000,,"Data Engineering. Analyst Location: Gurgaon, Haryana Category: Software Engineering Job Requisition #: R244999 Date posted: Aug. 19,É??É??",,
Data Analyst- MSBI, SQL, Snowflake,Coforge Ltd.,3.4,Greater Noida,700000," Data modeling, SQL, Analysis skills, Agile, Communication skills",Exceptional analytical skills with a strong understanding of the power and value of data with an ability to apply technology solutions to meet business needsÉ??É??
Data Analyst,RightWave,4.4,Noida,450000," Power BI, Microsoft Excel, SQL, Analysis skills, Google Analytics","They bring technical expertise to ensure the quality and accuracy of that data, then process, design, and present it in ways to help people, businesses, andÉ??É??",,
Business Analyst,Kliento Technologies,3.9,Noida,500000,,Analyze the report to identify key performance criteria. Proactive to suggest and explain the analyzed data. Get deep understanding of product.É??,,
Sr. Data Analyst,Glowfin,,Noida,900000," Data analysis skills, SQL, Analysis skills, Data science","Monitor industry trends, competitor activities, and market developments to stay informed about the real money gaming landscape. Total work: 8 years (Preferred).É??",,
Data Analyst,Degree 360 solutions Pvt. Ltd.,,Delhi,," Data analysis skills, SQL, Analysis skills, Agile, Python",Employ statistical techniques to scrutinize data and produce actionable business insights. Engage with managers from various departments to specify dataÉ??É??,,
Business Analyst Intern,Glued Entertainment Private Limited,,Noida,15000, Business analysis,"Assist in evaluating potential solutions, conducting feasibility studies, and preparing cost-benefit analyses. Total work: 1 year (Preferred).É??",,
Data Analyst,eminenture,3.8,Delhi,," Microsoft Excel, Pivot tables","Good command on Excel (Vlookup, Hlookup, Pivot Tables, Conditional Formatting, If Conditioning and other advanced Excel tools like VBA and Macros).É??",,
Climate Data & Analytics Analyst,NatWest Group,4.1,Gurgaon,650000," SAS, Business analysis, Tableau, SQL, Quality assurance","Seeking opportunities to challenge and improve current business processes, ensuring the best result for the customer. At least five years of experience.É??",,
Data Analyst,Apsidata,3.7,Noida,," Scripting, SPSS","É?? Knowledge and working experience in other tools like SPSS, Wincross, QPSMR will be an added advantage. É?? Strong problem-solving skills, including an abilityÉ??É??",,
Analyst - Loyalty Data Analytics,United Airlines,3.9,Gurgaon,600000," Power BI, SAS, Data analysis skills, English, SQL",The analyst will translate data findings into insights and recommendations for business stakeholders. Regularly offers potential solutions to business teamsÉ??É??,,
Data Analyst,cocentrus,,Gurgaon,1150000," Power BI, Business analysis, Data analysis skills, SQL",Partner with Technology & Service teams to design and build Implementation solutions for workflow and business decisions. Total work: 1 year (Preferred).É??,,
Jr Data Analyst | Jr Data Scientist,AIBridge ML,4.5,HyderéÅbéÅd,300000," R, SQL, Math, Machine learning, Natural language processing","Some experience in working with Python, R, SQL. Some experience in working with libraries in Python. Graduate with Strong mathematical and statistical skillsÉ??É??",,
Data Analyst- FinOps,Gocool Inc,4,HyderéÅbéÅd,3500000," Power BI, Microsoft Excel, Business intelligence, R, Tableau","Proficiency in FinOps tooling, best practices, and data analyses across multi-cloud environments. 1+ years of experience with developing data visualizationsÉ??É??",,
Data Analyst,SPEEDLABS,,India,35000," Microsoft Powerpoint, Microsoft Excel, Data analysis skills, Analysis skills, Presentation skills",Experience in the education or technology industry. Collaborate with cross-functional teams to gather data requirements and deliver analytical solutions.É??,,
Data Analytics Apprenticeship, March 2025,Google,4.3,HyderéÅbéÅd,," Data analysis skills, English, SQL, Data analytics",Less than 1 year of experience in data analytics post graduation. Gain an understanding of the data lifecycle and how this translates to different businessÉ??É??,
SQL Data Analyst,ITI Data,4.1,HyderéÅbéÅd,," Waterfall, Business analysis, SQL, Data analytics, Agile","Experience in SDLC waterfall and agile methodologies, developing business and function requirements as part of a business analyst role.É??",,
Data Analyst, Tech,Uber,3.9,HyderéÅbéÅd,900000," Statistics, Google Suite, Business intelligence, Google Cloud Platform, Tableau","Familiarity with cloud-based data solutions (e.g., Google Cloud). Familiarity with Large Language Models (LLMs) and an understanding of how Generative AI can beÉ??É??",
Lead Power BI Engineer,Zelis,3.8,HyderéÅbéÅd,," Power BI, Azure, Business intelligence, Microsoft SQL Server, SQL",Create data visualizations that communicate complex data in a clear and effective manner. The ideal candidate will have a strong background in transforming dataÉ??É??,,
Data Analyst,Next Education,3.6,HyderéÅbéÅd,650000, Computer skills,"Minimum Required Experience : 1 year Intern Skills Good Problem Solving Skills Description Basic computer knowledge. Working on softwares like Articulate,É??É??",,
Data Analyst Operations,S&P Global,4.1,HyderéÅbéÅd,500000," Microsoft Excel, Research, Data collection, Communication skills","The Impact: In this role, you will work closely with members of our global teams, adding value to our content, as you work to ensure the highest possible levelsÉ??É??",,
