Job_Title,Company _Name,Rating,Location,Salary,Skills,Description
Data Analyst,Dilizent Systems,,Pimpri-Chinchwad,," Data analysis skills, SQL, Analysis skills, Agile, Hindi",- Stay updated with industry trends and best practices in data analytics. You will also be tasked with identifying trends and patterns in data sets to help……
Applications Development Sr Programmer Analyst - C12 - PUNE,Citi,3.7,Pune,₹7L - ₹10L ," CI/CD, Power BI, Data modeling, Oracle, Business intelligence","By applying their knowledge of data architecture standards, data warehousing, data structures, and business intelligence they will contribute to business……"
Procurement Data Analyst - Audit & Compliance,CrowdStrike,3.8,Pune,₹4L - ₹7L ," Microsoft Word, Microsoft Outlook, Procurement, NetSuite, English","Prepare written reports on assigned engagements that set forth results and make recommendations in an accurate, objective, concise, and constructive manner.…"
Geospatial Data Analyst,IDOX plc,3.4,Pune,₹4L - ₹10L ," Microsoft Excel, PostGIS, Information security, SQL, Analysis skills","As an Intermediate level Data Analyst, you will play an essential role in the integrity, capture, digitisation and improvement to the Local Plan data product.…"
GHG Data Analyst,Tarento Group,4.0,Pune,," Power BI, Microsoft Office, Databases, Analysis skills, Data management",Experience and proven track record of excellent data management and analytical skills with relevant databases and data analytics including the ability to……
Data Analyst,Wipro Limited,3.6,Pune,₹4L - ₹6L ," MATLAB, Microsoft Excel, SQL, Data analytics, Python","The purpose of this role is to interpret data and turn intoinformation (reports, dashboards, interactive visualizations etc) whichcan offer ways to improve a……"
"Associate, Data Analyst",TIAA,3.7,Pune,₹10L - ₹11L ," Power BI, Microsoft Excel, Data mining, Business intelligence, R",This job directs the examination and identification of data patterns and trends that help answer business questions and improve decision-making.…
Data Analyst - A,Capgemini,3.9,Pune,₹4L - ₹5L ,,They ensure that the data sources and repositories provide consistent and reliable data. Data analysts use different algorithms and IT tools as demanded by the……
PAM Data Analyst,Deutsche Bank,3.9,Pune,," Microsoft Word, Microsoft Excel, Microsoft SQL Server, Microsoft Office, Information security","The successful candidate must be able to work to demanding deadlines, have strong analytical skills, attention to detail and the ability to understand complex……"
Data Analyst,SuperGaming,4.1,Pune,₹5L - ₹9L ," iOS, R, Docker, Cloud development, Communication skills","You will play a crucial role in designing, developing, and maintaining scalable analytics services for our Indo-Futuristic Battle Royale, coming to mobile……"
Data Analytics Intern,Wissen Baum,3.8,Pune,," Power BI, Microsoft Excel, Tableau, Computer skills",Familiarity with Power BI and Tableau. Analytical and problem-solving skills. Hands-on experience on Live Projects.…
